,link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
4004,https://bacdive.dsmz.de/strain/18649,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4005,https://bacdive.dsmz.de/strain/18650,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4006,https://bacdive.dsmz.de/strain/18651,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4007,https://bacdive.dsmz.de/strain/18652,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4008,https://bacdive.dsmz.de/strain/18653,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4009,https://bacdive.dsmz.de/strain/18656,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4010,https://bacdive.dsmz.de/strain/18658,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4011,https://bacdive.dsmz.de/strain/18659,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4012,https://bacdive.dsmz.de/strain/18665,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4013,https://bacdive.dsmz.de/strain/18666,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4014,https://bacdive.dsmz.de/strain/18667,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4015,https://bacdive.dsmz.de/strain/18668,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4016,https://bacdive.dsmz.de/strain/18669,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4017,https://bacdive.dsmz.de/strain/18670,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4018,https://bacdive.dsmz.de/strain/18673,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4019,https://bacdive.dsmz.de/strain/18674,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4020,https://bacdive.dsmz.de/strain/18675,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4021,https://bacdive.dsmz.de/strain/18676,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4022,https://bacdive.dsmz.de/strain/18677,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4023,https://bacdive.dsmz.de/strain/18678,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4024,https://bacdive.dsmz.de/strain/18679,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4025,https://bacdive.dsmz.de/strain/18681,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4026,https://bacdive.dsmz.de/strain/18682,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4027,https://bacdive.dsmz.de/strain/18683,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4028,https://bacdive.dsmz.de/strain/18707,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4029,https://bacdive.dsmz.de/strain/18708,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4030,https://bacdive.dsmz.de/strain/18709,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4031,https://bacdive.dsmz.de/strain/18710,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4032,https://bacdive.dsmz.de/strain/18711,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4033,https://bacdive.dsmz.de/strain/18712,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4034,https://bacdive.dsmz.de/strain/18713,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4035,https://bacdive.dsmz.de/strain/18714,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4036,https://bacdive.dsmz.de/strain/18720,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4037,https://bacdive.dsmz.de/strain/18721,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4038,https://bacdive.dsmz.de/strain/18722,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4039,https://bacdive.dsmz.de/strain/18726,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4040,https://bacdive.dsmz.de/strain/18727,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4041,https://bacdive.dsmz.de/strain/18728,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4042,https://bacdive.dsmz.de/strain/18729,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4043,https://bacdive.dsmz.de/strain/18731,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4044,https://bacdive.dsmz.de/strain/18732,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4045,https://bacdive.dsmz.de/strain/18736,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4046,https://bacdive.dsmz.de/strain/18737,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4047,https://bacdive.dsmz.de/strain/18738,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4048,https://bacdive.dsmz.de/strain/18739,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4049,https://bacdive.dsmz.de/strain/18740,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4050,https://bacdive.dsmz.de/strain/18741,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4051,https://bacdive.dsmz.de/strain/18742,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4052,https://bacdive.dsmz.de/strain/18743,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4053,https://bacdive.dsmz.de/strain/18744,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4054,https://bacdive.dsmz.de/strain/18745,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4055,https://bacdive.dsmz.de/strain/18748,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4056,https://bacdive.dsmz.de/strain/18749,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4057,https://bacdive.dsmz.de/strain/18754,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4058,https://bacdive.dsmz.de/strain/18755,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4059,https://bacdive.dsmz.de/strain/18756,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4060,https://bacdive.dsmz.de/strain/18758,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4061,https://bacdive.dsmz.de/strain/18762,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4062,https://bacdive.dsmz.de/strain/18763,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4063,https://bacdive.dsmz.de/strain/18764,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4064,https://bacdive.dsmz.de/strain/18767,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4065,https://bacdive.dsmz.de/strain/18768,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4066,https://bacdive.dsmz.de/strain/18769,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4067,https://bacdive.dsmz.de/strain/18771,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4068,https://bacdive.dsmz.de/strain/18772,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4069,https://bacdive.dsmz.de/strain/18780,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4070,https://bacdive.dsmz.de/strain/18782,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4071,https://bacdive.dsmz.de/strain/18784,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4072,https://bacdive.dsmz.de/strain/18786,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4073,https://bacdive.dsmz.de/strain/18789,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4074,https://bacdive.dsmz.de/strain/18790,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4075,https://bacdive.dsmz.de/strain/18791,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4076,https://bacdive.dsmz.de/strain/18792,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4077,https://bacdive.dsmz.de/strain/18793,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4078,https://bacdive.dsmz.de/strain/18794,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4079,https://bacdive.dsmz.de/strain/18795,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4080,https://bacdive.dsmz.de/strain/18796,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4081,https://bacdive.dsmz.de/strain/18797,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4082,https://bacdive.dsmz.de/strain/18798,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4083,https://bacdive.dsmz.de/strain/18799,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4084,https://bacdive.dsmz.de/strain/18800,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4085,https://bacdive.dsmz.de/strain/18801,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4086,https://bacdive.dsmz.de/strain/18802,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4087,https://bacdive.dsmz.de/strain/18803,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4088,https://bacdive.dsmz.de/strain/18804,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4089,https://bacdive.dsmz.de/strain/18805,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4090,https://bacdive.dsmz.de/strain/18806,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4091,https://bacdive.dsmz.de/strain/18807,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4092,https://bacdive.dsmz.de/strain/18808,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4093,https://bacdive.dsmz.de/strain/18809,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4094,https://bacdive.dsmz.de/strain/18810,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4095,https://bacdive.dsmz.de/strain/18812,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4096,https://bacdive.dsmz.de/strain/18813,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4097,https://bacdive.dsmz.de/strain/18814,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4098,https://bacdive.dsmz.de/strain/18815,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4099,https://bacdive.dsmz.de/strain/18816,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4100,https://bacdive.dsmz.de/strain/18817,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4101,https://bacdive.dsmz.de/strain/18818,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4102,https://bacdive.dsmz.de/strain/18819,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4103,https://bacdive.dsmz.de/strain/18820,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4104,https://bacdive.dsmz.de/strain/18821,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4105,https://bacdive.dsmz.de/strain/18822,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4106,https://bacdive.dsmz.de/strain/18823,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4107,https://bacdive.dsmz.de/strain/18824,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4108,https://bacdive.dsmz.de/strain/18825,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
4109,https://bacdive.dsmz.de/strain/18826,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
